Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
Aruba,ABW,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.018821006708,46.156165253042,46.3379797528232,46.5506994948811,46.7905777106722,46.9392719995924,47.0258112958133,47.0914096418886,47.175201637277,47.2408487046256,47.2731308225937,47.3307342290737,47.3938643914821,47.4516429610469,47.5051842901116,47.4687034378906,47.4012831778385,47.3338393333378,47.2715680611434,47.1318908272797,47.1292277316108,47.0562331973875,47.0690350612543,47.0456403523033,47.0393272283199,47.0498428979291,47.1532813349663,47.1968566448366,47.2423372407515,47.2349062729704,47.3862962747418,47.278517042634,47.3466947965365,
Afghanistan,AFG,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9280581173082,17.011978331466,17.0404563596035,17.0613692628706,17.1447168747422,16.9788999713629,16.814183711373,16.686638760495,16.5942945246068,16.5123351909746,16.6185296441934,16.7643595776512,16.9183878848528,17.0611489521127,17.1897953225825,16.9851074981879,16.7950998472667,16.6393488158642,16.5475600241365,16.5561563574085,16.8750523207291,17.2789832020652,18.2305625264621,19.2184240109243,20.2447905876726,21.3078663997887,22.418111741921,21.756158170305,20.9914121229809,19.793486147683,17.927683786822,6.84792931474591,6.53757779394275,
Africa Western and Central,AFW,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7924131426641,45.7690503639764,45.7769255664178,45.8055425634821,45.8547084634115,45.8536019869176,45.8736870183838,45.9005535839158,45.9426562200588,45.9886303681928,45.9770467388623,45.9655506790906,45.9247680850203,45.8820612397443,45.8418957466679,45.7633530777895,45.739323394662,45.6851885031125,45.6346892369868,45.5890902908083,45.5720420857388,45.5632569440069,45.5625250938352,45.3471839649763,45.1517498146487,44.9040874802506,44.6455027225517,44.3278511233354,44.0718639664338,43.9991096568722,44.0691071920416,43.952890042785,43.9893962711558,
Angola,AGO,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0358713893762,50.0966279386194,50.2124021839409,50.3517565399079,50.4207768343927,50.3888752732224,50.3729326594603,50.3901715978805,50.4482228673486,50.5111740502264,50.5274521886901,50.5521549352472,50.5585046992229,50.5542424515373,50.5463916144088,50.4950586530638,50.4533312152618,50.4144177708533,50.3811780475697,50.3580568561654,49.7981124536432,49.803406867043,49.8123615929065,49.823659694584,49.8366376740873,49.8490235881859,49.8597495902349,49.8754787569301,49.8932781584218,49.8795787148896,50.1420640391627,49.5492049214585,49.592742078523,
Albania,ALB,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.9813237394847,41.2391466233198,41.3103147214784,41.4024556142798,41.4545167555096,41.5478007627551,41.8112741746525,41.8739641969712,41.8823602382053,41.9065557863872,41.8857916800241,41.8512915267376,42.0353910539237,42.2216619691266,42.4181481525348,42.6368384883024,42.8841946962155,43.1576368212766,42.071591750363,42.6648460833192,44.0602361317424,43.0796382917073,41.853022134632,41.1951182619357,42.5029216344644,43.5769646892468,42.8743087113443,43.3927042143794,43.942236030046,43.8383456545337,44.3102848383972,44.1492246655022,44.255748718684,
Andorra,AND,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8119238252178,20.0769612438137,19.9147320543437,20.2055856196671,20.1547373615135,20.1651965795036,20.1047412757256,20.1014771360608,20.4307520368159,20.6254716930624,20.7524232273126,20.339380176078,20.5001397958529,20.6429093337145,20.7874256783765,20.9413112503876,21.3371372369411,20.9085913237953,21.0179580990151,20.9037767465449,20.9400734559876,20.9997501903637,21.1892694203667,21.2979029239103,21.6467011850135,21.8528728534156,21.4038215321684,20.6798094486352,20.2900196683796,20.391282404856,20.8262046030991,20.7018877603785,20.8626444053756,
United Arab Emirates,ARE,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7465648012693,10.8980712629108,11.0918191278213,11.153230746153,11.2182892765584,11.4194343167876,11.6044297649116,11.7968389750814,11.9980248676842,12.2059953313832,12.4113587094814,12.6133012793882,12.8129112696544,13.010156768576,13.1184458867102,13.106505837993,12.9605137308766,12.8596751944382,12.8721731691663,13.1894365881309,13.7367500178978,14.2717882807918,14.7932882935516,15.3034469548487,15.8070513043357,16.2994058122205,16.9959955920225,17.13886871354,18.484149170083,20.1111289120027,17.7172201576407,18.049700523189,18.5447375982503,
Argentina,ARG,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.9461848614547,40.4279616119549,40.936514163657,41.2693625643704,40.9535463179384,41.2735549766098,41.7837106841712,41.9977635419314,41.6787870854957,41.5584547893702,41.1690883319378,40.2402558091138,40.8347552574816,41.4264439617449,40.9826110422916,41.3073826453907,41.053246922938,40.796100536691,41.1522379748441,40.5999780782803,40.4875566882459,40.7585234177705,40.6729270549321,40.8234640286858,41.0250232507636,41.2330848503142,41.441270515727,42.146220107956,42.3760560305369,42.3938341360417,42.5339108158108,42.5182670586375,42.6861277509574,
